Station, Calculated Magnitude, NEIC Magnitude, Event Distance, Event Lat, Event Lon 
R5BDD,2.61449177077,2.5,88.0328301243,35.976,-97.2004
R5BDD,3.87016726057,2.5,62.8142766359,35.3824,-98.0973
R5BDD,1.96419412623,2.1,49.2388794958,35.5373,-97.8028
R5BDD,3.53645437086,2.6,190.791604016,36.9185,-97.6468
R5BDD,3.94949741613,2.5,214.718240765,36.6555,-99.0188
R5BDD,3.65599787151,2.6,179.44956622,36.0973,-99.0952
R5BDD,2.97680972283,2.4,178.70493136,36.0981,-99.0847
R5BDD,3.14241677372,2.6,144.245285554,36.4817,-97.7555
R5BDD,3.25170161813,2.5,144.545696759,36.4842,-97.7571
R5BDD,4.01269072232,2.4,196.191291595,36.9366,-97.894
R5BDD,2.81698815038,2.5,167.123948588,36.7015,-97.673
R5BDD,2.93786806837,2.6,214.642727526,36.6556,-99.0174
R5BDD,3.14947683528,3.3,166.694855167,36.6963,-97.6853
R5BDD,2.75441155339,3.1,144.632539642,36.4849,-97.7577
R5BDD,3.56183382735,2.9,215.177947457,36.6573,-99.024
R5BDD,4.21306322228,2.9,106.993218407,36.1219,-97.8148
R5BDD,3.35407935037,2.5,183.808256074,36.4889,-98.7298
R5BDD,3.38501622834,3.4,183.149703811,36.4534,-98.7699
R5BDD,2.53697582916,2.6,126.444750906,36.1851,-96.7232
R5BDD,2.39152061127,2.5,100.214021724,36.0228,-97.9159
R5BDD,2.77234393038,2.5,167.101936182,36.701,-97.6759
R5BDD,3.79098438519,2.6,186.537560989,36.454,-98.8256
R5BDD,2.86729250772,2.7,167.182758605,36.703,-97.6634
R5BDD,2.10373747024,2.5,50.6568608749,35.4359,-97.9228
R5BDD,3.75486742764,3.0,195.217843142,36.8425,-98.2396
R5BDD,2.32250172018,2.8,51.3682254366,35.4573,-97.9161
R5BDD,3.50244071705,3.1,145.007795026,36.4891,-97.7531
R5BDD,3.5165425255,3.6,182.787466076,36.4509,-98.7673
R5BDD,3.94951770268,2.7,120.04777224,36.2885,-97.4871
R5BDD,2.88805473493,2.5,120.233657912,36.2901,-97.4897
R5BDD,2.89473599075,2.8,143.856421653,36.4791,-97.7495
R5BDD,2.98863645208,2.7,193.951087795,36.94,-97.7234
R5BDD,3.48664169991,2.5,143.655651323,36.4787,-97.7404
R5BDD,2.48098535038,2.6,100.609311949,36.0289,-97.9103
R5BDD,2.76703930733,2.6,190.550711828,36.9159,-97.652
R5BDD,3.53898524589,2.7,187.160010992,36.8348,-97.9857
R5BDD,3.83842922956,2.6,186.481958483,36.4565,-98.8213
R5BDD,3.05115206485,3.7,54.8303163045,35.6888,-97.3051
R5BDD,3.16199854468,3.3,183.090055855,36.4519,-98.771
R5BDD,2.9418023442,2.6,184.703049858,36.8718,-97.4439
R5BDD,2.8456149902,2.6,190.17802886,36.9128,-97.6486
R5BDD,3.61907762848,3.6,190.220636461,36.913,-97.6509
R5BDD,3.72323870867,2.6,201.738764707,36.8706,-98.3444
R5BDD,3.14560260478,3.4,107.217924785,36.1239,-97.8153
R5BDD,2.7510707452,2.8,51.5029500961,35.67,-97.3964
R5BDD,1.94522381065,2.5,51.3427286854,35.6684,-97.3941
R5BDD,2.68225135254,2.5,90.8242327557,35.9735,-97.7931
R5BDD,4.03705851175,4.0,201.7344357,36.5336,-98.9685
R5BDD,4.0334220297,2.5,200.555601609,36.524,-98.9619
R5BDD,3.19235829981,2.9,201.495387038,36.5327,-98.9658
R5BDD,3.18290418797,2.8,201.348127756,36.5347,-98.9608
R5BDD,3.68562665141,3.4,201.658966797,36.5355,-98.9648
R5BDD,3.30417820385,2.5,76.8106896453,35.7907,-96.985
R5BDD,2.5838454254,2.3,121.751936088,35.773,-98.5903
R5BDD,3.7076874698,2.7,184.055325326,36.8028,-97.9987
R5BDD,3.84585057145,2.7,201.150137278,36.534,-98.9585
R5BDD,2.17853553882,2.6,55.0905758897,35.691,-97.304
R5BDD,3.18032039684,2.8,129.692226478,36.3594,-97.6821
R5BDD,3.73827719344,2.5,179.332312557,36.8173,-97.6134
R5BDD,2.312266501,2.1,24.0619637365,34.9929,-97.4812
R5BDD,3.09643928106,3.5,100.891932245,36.033,-97.9069
R5BDD,1.99993989096,2.6,55.4919225772,35.6529,-97.1633
R5BDD,2.44026104629,2.7,100.965499342,36.0373,-97.8973
R5BDD,3.49385885863,2.7,100.587193002,36.0305,-97.9055
R5BDD,3.44485204278,2.9,100.877656711,36.0361,-97.8982
R5BDD,2.40157415097,2.3,101.081615973,36.0369,-97.9015
R5BDD,3.28918237346,3.2,101.305964583,36.0403,-97.8983
R5BDD,2.927416921,2.7,101.02125405,36.0373,-97.8988
R5BDD,2.37822613792,2.5,64.197571287,35.3922,-98.1094
R5BDD,3.3891303801,2.6,101.010133189,36.0347,-97.9055
R5BDD,2.65532658956,3.2,59.5678926508,34.6722,-97.4959
R5BDD,3.39902518019,2.7,143.626055335,36.4786,-97.7393
R5BDD,2.93519057965,2.5,113.819201331,36.0725,-96.7656
R5BDD,3.7564943262,2.5,193.694096673,36.9518,-97.3671
R5BDD,4.13185668003,2.6,214.811312932,36.6527,-99.0242
R5BDD,2.42809568261,2.6,109.097574015,36.1879,-97.5279
R5BDD,2.02479868269,2.1,51.4040038546,35.6692,-97.3979
R5BDD,2.91014408066,2.7,56.2417186857,35.6599,-97.1619
R5BDD,3.81903347675,3.0,182.774120902,36.8544,-97.4305
R5BDD,2.90736904832,2.6,208.05208213,37.0688,-97.7165
R5BDD,2.79380731558,2.6,192.914676606,36.789,-98.3287
R5BDD,3.46685379602,2.8,201.509097555,36.5239,-98.9774
R5BDD,2.37455696662,2.7,56.3671633662,35.6617,-97.1632
R5BDD,3.83837846033,2.9,158.332351498,36.2048,-98.6917
R5BDD,3.71809950477,2.5,201.895982599,36.5363,-98.9676
R5BDD,3.9984318596,2.7,194.774594958,36.9613,-97.3588
R5BDD,3.5460722997,2.6,194.196997231,36.9562,-97.3624
R5BDD,4.0285934268,2.7,201.605366162,36.5429,-98.9542
R5BDD,3.39471589962,2.7,100.741974949,36.0329,-97.9032
R5BDD,3.11705486961,2.7,59.2531877838,34.6754,-97.5007
R5BDD,3.80044623926,2.6,193.701288469,36.9518,-97.3648
R5BDD,3.4033727689,2.9,95.095266726,35.9882,-97.8729
R5BDD,2.5369004659,2.7,106.803662652,36.1511,-97.6721
R5BDD,2.77398024238,2.4,106.575268356,36.1506,-97.6621
R5BDD,3.26354513872,3.0,186.415525997,36.459,-98.8168
R5BDD,2.37723099449,2.5,60.5456830292,34.6633,-97.4951
R5BDD,3.15777400988,2.5,187.215338262,36.4658,-98.8208
R5BDD,3.02681252744,2.8,186.575483018,36.4597,-98.8185
R5BDD,2.74423949727,2.8,116.871511083,35.0559,-96.1716
R5BDD,2.24212307291,2.5,62.0819432446,35.3784,-98.0904
R5BDD,2.95634106315,2.7,88.6646452314,35.981,-97.1962
R5BDD,3.5818492615,2.6,157.98687425,36.2025,-98.6891
R5BDD,3.80008295947,2.8,157.493626173,36.2058,-98.6775
R5BDD,2.87359110852,2.6,183.024955434,36.4524,-98.7692
R5BDD,2.79175310295,2.6,157.647888439,36.2038,-98.6823
R5BDD,3.48774987058,2.7,182.968845171,36.4498,-98.7719
R5BDD,3.76578414239,2.3,221.296973124,37.1747,-97.843
R5BDD,2.38399029293,2.8,51.5676842213,35.6708,-97.3999
R5BDD,1.9810931092,2.7,51.5996896771,35.6709,-97.3968
R5BDD,3.17176237652,3.6,51.597009441,35.6711,-97.4005
R5BDD,3.13973388588,3.1,185.168951089,36.876,-97.442
R5BDD,2.85350997043,2.8,185.279885237,36.877,-97.4408
R5BDD,2.93111073565,2.5,191.051138373,36.8826,-97.9296
R5BDD,2.48263756128,2.4,43.7374765489,35.2791,-97.9131
R5BDD,2.67990485282,2.6,107.17763842,36.1547,-97.6711
R5BDD,3.25260741376,2.4,189.824510555,36.9091,-97.6547
R5BDD,3.19583106099,2.8,106.91536148,36.1525,-97.6698
R5BDD,2.66658289125,3.1,142.233812837,35.1225,-95.8828
R5BDD,2.88920280823,2.8,190.027788933,36.9109,-97.6552
R5BDD,3.27958403672,2.8,214.360181467,36.503,-99.2009
R5BDD,2.80633795196,2.6,130.433701152,36.1534,-98.2957
R5BDD,2.84315807551,2.4,106.766004987,36.1518,-97.6656
R5BDD,3.07375075569,3.5,106.890083678,36.1523,-97.6696
R5BDD,2.42077520748,2.3,106.729959392,36.1525,-97.659
R5BDD,3.16693912413,3.2,106.684595311,36.1511,-97.6653
R5BDD,2.32418465015,2.4,76.9243082124,35.8889,-97.2859
R5BDD,2.9281453373,2.4,213.123762576,36.509,-99.1757
R5BDD,2.24952305315,2.5,29.1932729768,35.0041,-97.6442
R5BDD,2.61349381378,2.8,106.789500143,36.153,-97.6593
R5BDD,2.69806739346,2.9,106.87665685,36.1531,-97.6638
R5BDD,2.54608310791,2.6,113.445588649,36.2194,-97.2634
R5BDD,2.26767586859,2.6,107.031973667,36.1544,-97.6646
R5BDD,2.28555320501,2.5,107.021903409,36.1538,-97.6678
R5BDD,2.35520001351,2.6,107.066755075,36.1541,-97.6685
R5BDD,2.75074447077,2.7,106.968784838,36.1532,-97.6685
R5BDD,2.46672099914,2.7,107.19957411,36.1554,-97.668
R5BDD,2.182879447,2.4,51.5441434835,35.2872,-97.9985
R5BDD,3.42264011603,3.7,44.7281743227,35.4215,-97.024
R5BDD,2.91379393263,2.6,188.958117473,36.9086,-97.3513
R5BDD,2.86227550182,2.9,179.42527477,36.8184,-97.6097
R5BDD,3.03996233713,2.9,201.820502555,36.5372,-98.9652
R5BDD,2.7338998271,2.5,171.743130096,36.7382,-97.7206
R5BDD,1.93396545087,2.2,51.5575309754,35.6706,-97.3981
R5BDD,2.43241505171,2.5,77.1943688187,35.8913,-97.2854
R5BDD,2.45118255596,3.1,77.216610302,35.8917,-97.2867
R5BDD,3.03262229925,2.7,75.6322798253,35.8789,-97.2984
R5BDD,2.84977028003,3.0,106.825418587,36.1513,-97.6721
R5BDD,3.530951582,2.0,106.792138388,36.1514,-97.6696
R5BDD,3.58163042123,3.2,106.983844743,36.153,-97.6706
R5BDD,4.06548015641,2.5,201.459869954,36.5408,-98.9546
R5BDD,2.8196145303,2.2,106.840655483,36.1535,-97.6591
R5BDD,2.85100769039,3.2,107.086369774,36.1542,-97.669
R5BDD,3.25168209235,2.8,201.413502063,36.5349,-98.9616
R5BDD,2.83159290633,3.0,44.5956773488,34.9544,-97.8208
R5BDD,2.71059655729,3.0,77.1598411448,35.8904,-97.2816
R5BDD,2.54186520584,2.3,141.595888583,36.3092,-96.651
R5BDD,2.56258537807,2.6,142.657501573,36.4235,-96.9289
R5BDD,3.49131797127,2.6,179.43817279,36.8183,-97.6128
R5BDD,2.65492292104,3.0,76.9819162471,35.889,-97.2831
R5BDD,2.807396914,2.5,189.551104351,36.7391,-98.3708
R5BDD,3.42941751348,2.8,114.139714454,36.2324,-97.5449
R5BDD,3.51170675511,2.9,107.004542292,36.1534,-97.6693
R5BDD,3.6854891352,3.1,180.862742133,36.5118,-98.6412
R5BDD,2.36365140073,3.0,78.5358436212,35.7956,-96.9594
R5BDD,2.85737867558,2.5,142.830767608,36.4842,-97.2412
R5BDD,3.31497184665,2.8,49.6241874691,35.4245,-97.9176
R5BDD,2.73149606898,2.5,90.3742526458,36.0166,-97.3287
R5BDD,3.17556796865,2.5,100.879589177,36.0325,-97.9079
R5BDD,3.50331616285,3.5,188.296366459,36.7016,-98.4297
R5BDD,3.11547502912,3.3,170.98816777,36.5034,-98.4645
R5BDD,2.25607140253,2.7,100.755071937,36.0313,-97.9078
R5BDD,3.89974749048,2.6,171.90501422,36.1276,-98.968
R5BDD,2.33432626801,2.6,63.067975876,35.3812,-98.1007
R5BDD,3.8754495644,2.5,183.577374222,36.4812,-98.7372
R5BDD,3.8132256905,2.5,164.344013597,36.2128,-98.7741
R5BDD,3.42304092856,3.2,105.157597608,36.1543,-97.4844
R5BDD,2.81883547356,2.9,56.3632252534,35.6603,-97.1599
R5BDD,3.86707362571,2.5,107.75248159,36.1142,-97.866
R5BDD,3.8202921452,3.0,181.489765442,36.5837,-98.5266
R5BDD,2.21175675228,2.5,88.3254328055,35.971,-97.1659
R5BDD,3.28548999045,2.9,115.840033614,35.0561,-96.183
R5BDD,2.85390529283,2.5,183.169926372,36.4626,-98.7572
R5BDD,2.30422156436,2.5,100.187700175,36.0205,-97.9211
R5BDD,2.44872981929,2.6,99.7887493679,36.0135,-97.9286
R5BDD,2.6937660468,2.5,157.002580691,36.2032,-98.673
R5BDD,2.78167730105,2.5,99.7007831252,36.0116,-97.9311
R5BDD,2.56808806128,3.1,99.6537023327,36.0121,-97.9287
R5BDD,3.98385361716,2.8,186.161277114,36.4627,-98.8075
R5BDD,3.09786539646,2.6,44.7483359808,35.42,-97.0226
R5BDD,2.36470574013,2.5,63.9651248834,35.3829,-98.1104
R5BDD,3.3540952812,2.5,114.158286576,36.2325,-97.5459
R5BDD,3.21673665208,2.6,63.6067887482,35.3773,-98.1084
R5BDD,2.62271171078,2.4,142.678959524,36.4191,-96.9127
R5BDD,2.73211840054,2.2,42.9596619334,35.4551,-97.8036
R5BDD,3.18173885726,2.5,63.8815512036,35.3709,-98.1139
R5BDD,3.32721612153,2.5,99.2973122036,35.8613,-96.6933
R5BDD,3.37976729065,2.9,105.49976692,36.1026,-97.8327
R5BDD,3.5189049103,2.8,99.8556835295,36.0153,-97.9258
R5BDD,3.0626428988,2.5,183.715390153,36.4582,-98.7727
R5BDD,3.11802030284,2.7,120.451253006,36.2913,-97.5106
R5BDD,2.92341353049,2.5,63.8754287722,35.3879,-98.1074
R5BDD,2.53959139227,2.7,41.5022929611,35.456,-97.7815
R5BDD,2.45312358278,2.3,107.682613458,36.1134,-97.8664
R5BDD,2.46579995519,2.1,107.248973307,36.1088,-97.8677
R5BDD,3.01543805723,2.8,204.676753901,36.408,-99.1598
R5BDD,3.03048238837,2.5,66.5775330353,35.6162,-97.977
R5BDD,2.17448594613,2.4,63.4041788103,35.3827,-98.104
R5BDD,2.43030034315,2.8,66.8856542287,35.6139,-97.9842
R5BDD,2.57801786484,2.7,104.152948854,35.9896,-96.8055
R5BDD,3.12188160634,2.7,173.386593194,36.1251,-98.9905
R5BDD,3.01217277124,2.6,172.546458505,36.1304,-98.9743
R5BDD,2.72624261671,2.8,100.499681287,35.8652,-96.679
R5BDD,2.37150199572,2.3,114.525911277,35.067,-96.1956
R5BDD,2.43083919975,2.3,41.1611109301,35.4504,-97.7825
R5BDD,2.52907065528,2.3,146.443742748,36.4759,-97.8875
R5BDD,2.18091701245,2.5,64.0672229747,35.3877,-98.1097
R5BDD,2.61077229236,2.6,64.8904546447,35.3875,-98.1193
R5BDD,2.03187072073,2.5,47.7549967321,35.3534,-96.9469
R5BDD,2.96913679116,2.9,119.484969759,36.2831,-97.4973
R5BDD,2.21405426201,2.6,41.1332217397,35.4532,-97.7791
R5BDD,3.4161694025,2.8,180.823346561,36.7493,-98.089
R5BDD,3.2344313874,2.6,100.707095408,36.0693,-97.7885
R5BDD,3.79895046945,3.0,42.7300301308,34.8772,-97.6821
R5BDD,2.96017593447,3.2,90.5206298972,36.0179,-97.3284
R5BDD,2.69780965059,2.1,41.5654419309,35.4551,-97.7834
R5BDD,2.48578535501,2.6,100.77049506,36.0692,-97.7911
R5BDD,2.60372252555,2.4,51.3890053008,35.6685,-97.3896
R5BDD,3.24636527703,3.1,172.631712009,36.1326,-98.9735
R5BDD,3.19916817128,2.4,173.485201872,36.1307,-98.9869
R5BDD,3.32691898373,2.6,173.485079637,36.1264,-98.9907
R5BDD,2.91411904116,2.5,181.538140581,36.7594,-98.077
R5BDD,2.88441742911,2.5,185.324424711,36.8774,-97.438
R5BDD,3.1728817821,3.3,184.936083408,36.8739,-97.4438
R5BDD,2.49230907339,2.8,51.830854131,35.6736,-97.4079
R5BDD,3.55737877566,3.2,185.186376257,36.458,-98.7977
R5BDD,3.81747888077,2.4,183.26047323,36.4627,-98.7586
R5BDD,3.00532913944,2.8,204.61304972,36.9115,-98.3079
R5BDD,2.48135371093,2.4,28.3649485342,35.2367,-97.7501
R5BDD,3.28270611674,2.7,76.8753254728,35.8956,-97.3443
R5BDD,2.61791627769,2.6,27.9685357712,35.2395,-97.7453
R5BDD,2.17409359057,2.3,28.2913394867,35.2366,-97.7493
R5BDD,2.53604508982,2.6,27.8728043699,35.2371,-97.7446
R5BDD,2.77862696483,2.3,29.2412347025,35.2414,-97.7591
R5BDD,2.39911189821,2.5,27.6851018123,35.2386,-97.7423
R5BDD,3.54341215626,2.5,144.005999528,36.3647,-98.1612
R5BDD,4.86216284796,2.6,205.609411087,36.9137,-98.3301
R5BDD,3.07216419206,2.9,27.6238709077,35.243,-97.7409
R5BDD,3.33238270826,2.4,96.599928085,35.994,-97.8971
R5BDD,2.25731386936,2.2,27.8838095524,35.2386,-97.7445
R5BDD,2.4376933495,2.3,27.3261170064,35.2424,-97.7377
R5BDD,2.95359707121,3.2,187.945935273,36.8999,-97.5166
R5BDD,3.49235351016,2.9,119.867963065,36.2861,-97.5091
R5BDD,2.11077732974,2.2,52.9317329415,35.6842,-97.4293
R5BDD,2.54073617898,2.0,27.688335052,35.2331,-97.7431
R5BDD,2.98346630884,3.2,190.652429473,36.9172,-97.6473
R5BDD,4.37400185411,2.3,100.581822015,36.0274,-97.9135
R5BDD,4.06115456775,2.7,100.624362584,36.0284,-97.912
R5BDD,2.61547607023,2.8,101.08479931,36.0363,-97.9032
R5BDD,2.61492979679,3.3,100.998809768,36.0344,-97.906
R5BDD,3.33381122972,2.9,100.415327801,35.8657,-96.681
R5BDD,3.59767773053,2.7,205.418123808,36.9121,-98.3293
R5BDD,3.16026410227,3.0,130.272818417,36.3167,-96.9693
R5BDD,3.53908161946,2.5,179.393075192,36.8178,-97.6141
R5BDD,2.86336921622,3.0,105.092584593,36.1538,-97.4815
R5BDD,3.41364364609,3.1,205.310133184,36.9108,-98.33
R5BDD,2.35259554245,2.7,99.8936242859,36.0166,-97.9235
R5BDD,3.12364755714,2.8,159.500217054,36.6342,-97.6538
R5BDD,2.97535483355,2.4,100.023843285,36.0187,-97.9215
R5BDD,3.58090603124,2.5,75.2675840854,35.8606,-97.2174
R5BDD,2.4754261163,2.5,100.214348721,36.0212,-97.92
