Network ,Station,Lat,Lon,Mean Misfit,STD,Events
GS,OK025,35.5811,-97.3379,-0.2792,0.247120627,176
GS,OK029,35.79657,-97.45486,-0.389372099,0.302391727,751
GS,OK030,35.92778,-96.78375,0.054597737,0.603571755,513
GS,OK031,35.95309,-96.83911,-0.349856313,0.415989754,592
GS,OK032,36.80382,-98.21041,-0.332577499,0.264376044,855
GS,OK033,36.044375,-96.9382,-0.217049389,0.333043122,842
GS,OK034,36.01015,-96.7132,-0.359479127,0.314427265,122
GS,OK035,36.70819,-98.7097,-0.128547393,0.294848998,724
GS,OK038,36.478211,-98.742223,0.118511082,0.356467356,746
GS,OK044,36.3727,-96.79633,-0.4826058,0.30045504,106
GS,OK045,36.44767,-96.92495,-0.095267086,0.299241274,121
GS,OK046,36.39725,-96.90741,-0.441177391,0.332759173,176
GS,OK048,36.41622,-96.94374,-0.456287437,0.333384607,754
GS,OK050,36.3945,-96.9818,-0.40119985,0.282429989,175
GS,OK051,36.50519,-96.83604,-0.039433235,0.300104673,641
GS,OK052,35.993611,-96.802778,-0.265004841,0.369737903,822
GS,OK053,36.014167,-96.787778,-0.345770859,0.312093953,163
AM,R5BDD,35.20720721,-97.44061737,0.249443505,0.560858552,512
AM,R6EF2,35.4954955,-97.53773923,-0.033774304,0.52052657,505
AM,R6418,35.3963964,-97.56879685,-0.214790341,0.383234937,278
AM,R5ECB,35.21621622,-97.40959095,-0.151706182,0.447988974,244
AM,RA256,35.63963964,-97.70336537,-0.368318736,0.35719157,539
AM,R7F4C,35.18918919,-97.45725448,0.093366748,0.428618129,207
AM,REDD6,35.23423423,-97.40219764,-0.137647735,0.467446765,236
AM,R88A7,35.27927928,-95.57554003,0.555852513,0.577765445,64
AM,R66F4,35.21621622,-97.398203,0.066100566,0.394642395,162
AM,RC509,35.59459459,-97.63426433,-0.324992511,0.352531946,122
AM,R6FF2,36.13513514,-95.97727188,0.368835936,0.366504074,259
AM,R8845,36.15315315,-95.93259726,-0.036716873,0.429681699,84
AM,R2026,35.91891892,-94.95922385,0.570666654,0.756323946,45
AM,R923A,35.66666667,-98.78278116,-0.048845406,0.324562201,246
AM,R98A3,35.44144144,-97.41139035,-0.279732838,0.374282303,70
AM,RC19D,36.15315315,-95.93259726,-0.120130263,0.446444455,88
AM,RCF53,35.67567568,-97.4933083,-0.120967737,0.791047676,134
AM,RAE8E,35.48648649,-97.51380573,-0.152053677,0.449902439,390
AM,RECEC,36.16216216,-95.02324587,0.357002142,0.046248757,2
AM,R2ED6,36.3963964,-97.86901931,0.456216149,0.936544008,90
AM,RA822,35.55855856,-98.03202879,0.194612271,0.762450258,114
AM,R0124,36.13513514,-95.97739419,0.568438276,0.442497705,136
AM,RBE46,35.48648649,-97.65426433,-0.361251312,0.453403693,423
