Station, Calculated Magnitude, NEIC Magnitude, Event Distance, Event Lat, Event Lon 
OK025,2.59285503377,2.9,156.99972314,36.5892,-98.5611
OK025,3.37584364208,2.9,148.573380538,36.7048,-98.2356
OK025,2.21436582276,2.6,126.770899836,36.4771,-98.2106
OK025,2.19154266933,2.5,99.6779973898,36.4108,-96.9141
OK025,3.43973278804,3.8,158.379362394,36.7011,-98.4288
OK025,2.28805700898,2.8,73.6052746367,36.2342,-97.195
OK025,2.13880064572,2.7,46.7591504784,35.9867,-97.1975
OK025,2.92207956486,3.4,92.9592363092,35.9008,-98.2878
OK025,2.34493404063,2.5,99.6787828656,36.4004,-96.8845
OK025,2.51883518837,2.6,168.681159027,37.0308,-97.903
OK025,2.99960048731,3.5,99.7340162825,36.4008,-96.8841
OK025,2.21443652222,2.1,99.682246752,36.3033,-96.6808
OK025,1.90012806766,2.4,66.0803443921,35.9895,-96.8059
OK025,2.30038036992,2.5,201.594285572,37.2732,-98.1562
OK025,2.07974363023,2.6,67.1768087468,35.7995,-96.6457
OK025,2.45884534176,2.4,143.621350891,36.8219,-97.7924
OK025,2.49597456277,2.9,128.032268975,36.7021,-97.6749
OK025,2.36771861611,2.7,105.290038582,36.4544,-96.881
OK025,2.5601894097,2.6,179.094257273,37.1506,-97.8031
OK025,2.57958737159,2.5,166.992407882,36.9038,-98.2241
OK025,2.25261487781,2.6,128.036346727,36.7019,-97.6761
OK025,2.15989714872,2.6,105.438879463,36.4561,-96.8817
OK025,2.47100032247,2.9,101.218342886,36.4427,-96.9691
OK025,1.8999856053,2.5,66.7123658888,35.9941,-96.8016
OK025,2.82256796102,2.9,161.907723825,36.85,-98.2269
OK025,2.76850875747,2.9,104.965068847,36.4528,-96.8856
OK025,1.60109675688,2.1,36.1600014666,35.9066,-97.3577
OK025,2.56943323935,2.9,79.5104855456,36.2838,-97.5105
OK025,1.98821992601,2.6,11.1967164701,35.6703,-97.3957
OK025,2.34381041118,2.7,201.519288633,37.2669,-98.1736
OK025,3.47321414176,3.2,175.388295507,37.073,-97.983
OK025,2.7667617472,2.8,195.159221882,36.8676,-98.8181
OK025,2.40165757888,2.7,93.5696739736,35.903,-98.294
OK025,2.17514531429,2.5,53.5394695382,35.5531,-96.7483
OK025,3.61864610316,3.8,173.017477176,36.4918,-98.8963
OK025,2.16744728267,2.9,36.7749249338,35.9124,-97.3498
OK025,2.14796024915,2.5,138.334024732,36.1147,-98.7219
OK025,2.24747557274,2.6,66.7519854432,35.9464,-96.7514
OK025,2.26261746984,2.6,138.106564758,36.1194,-98.7164
OK025,2.0510452112,2.6,92.399327225,35.9008,-98.2811
OK025,2.70305436894,3.0,100.850056739,36.4227,-96.9155
OK025,3.21242838528,3.7,127.846625158,36.6997,-97.6783
OK025,3.21246578717,3.3,127.84898643,36.6993,-97.6804
OK025,2.31987027931,2.8,27.1685037493,35.7959,-97.1938
OK025,2.64991154144,3.2,93.0848182495,35.8996,-98.2899
OK025,3.07340652921,2.6,167.391453561,37.0837,-97.5027
OK025,2.3852882376,2.9,92.992688667,35.901,-98.2881
OK025,2.31227925769,2.5,161.879135369,36.4571,-98.774
OK025,2.64229262736,2.7,139.78697476,36.8216,-97.6087
OK025,2.66598735518,2.8,161.869153183,36.8378,-98.252
OK025,2.08630466802,3.0,10.9838756993,35.6692,-97.3932
OK025,2.12643168459,2.5,26.1790485914,35.807,-97.4214
OK025,2.44983269663,2.7,67.0335709219,35.7978,-96.6466
OK025,2.6786681289,2.7,153.743956341,36.8828,-97.9238
OK025,3.12834972806,3.3,200.986019335,36.6646,-99.1271
OK025,3.28480555083,3.5,181.126175836,36.5278,-98.9756
OK025,2.26975778048,2.2,193.90659927,37.3023,-97.7112
OK025,3.07686047496,3.3,180.816787148,36.5359,-98.9643
OK025,2.55878306133,2.8,181.350404235,36.5327,-98.9744
OK025,2.65749809105,3.3,69.023569224,35.8428,-96.6459
